Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Romania,ROU,9.21954936323065,12.7642777371279,11.6432141737739,11.5179277085114,12.015517065369,11.9943282766161,10.8846354406307,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Russian Federation,RUS,7.7864292631719,11.5966584062396,10.1275339826815,9.97169043524175,9.9752831958463,10.1167844975695,10.0314119960502,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Serbia,SRB,9.32890495262284,16.3766842413591,16.0970526147022,15.369240479697,15.5068977910481,14.0235042190328,15.4368235364468,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Slovak Republic,SVK,7.6832568537475,5.70166893954153,3.11680745703466,1.82055995475113,4.49731714205027,2.6653573683103,2.45690290260793,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Slovenia,SVN,6.39665702346512,5.95273047563124,6.04121808674254,5.1775054979579,5.62773347054284,5.36403314567651,4.78354600011653,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Spain,ESP,9.28270042194093,8.72076443615591,9.18476803432556,8.92763426438859,8.73471637261773,9.48462399403081,9.599234767175,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Sweden,SWE,6.3075405523893,7.44675723502558,7.12986663074229,7.03408894272365,6.5857146290466,6.53658409080513,4.77616994672884,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Switzerland,CHE,7.40471341286005,6.17778718770794,6.61902743293163,7.13490650044524,6.72292339301438,6.80587892898719,6.69881030498417,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Tajikistan,TJK,8.81737021933208,15.041763178213,14.1770611499848,13.9857125261732,14.4043831742665,14.7706690037978,17.0228266148616,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Turkey,TUR,11.6104478390074,19.0166663998335,14.3091170788985,14.1107182869573,14.8883488659518,15.4625781790018,14.8160642634038,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Turkmenistan,TKM,8.48733744010952,14.2508887760284,12.797118847539,12.7177700348432,12.5915492957746,12.6391096979332,12.4852941176471,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Ukraine,UKR,7.34430357704955,18.0791620199803,11.4892918423115,10.9059851857931,10.7988889056931,10.6935252392801,10.7789531529056,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,United Kingdom,GBR,7.87682333873582,8.31866444073456,7.03132018241483,7.55634211155477,7.87079605210159,7.50774320412521,8.35418574202265,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Uzbekistan,UZB,9.38837106080781,9.08159781495391,8.8220502901354,8.81870229007634,8.8152380952381,8.81549815498155,8.8158844765343,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/09/2020,,,,,,,,,,,,,,,
