# Downloaded on 2020-02-05 from https://sandbag.org.uk/carbon-price-viewer/ by Markus Fleschutz

"Date","Price"
"2017-09-04 00:00:00",6,608000000000001
"2017-09-11 00:00:00",6,970000000000001
"2017-09-18 00:00:00",6,766
"2017-09-25 00:00:00",7,044
"2017-10-02 00:00:00",6,946
"2017-10-09 00:00:00",7,292
"2017-10-16 00:00:00",7,562
"2017-10-23 00:00:00",7,336
"2017-10-30 00:00:00",7,511999999999999
"2017-11-06 00:00:00",7,667999999999999
"2017-11-13 00:00:00",7,482000000000001
"2017-11-20 00:00:00",7,526000000000001
"2017-11-27 00:00:00",7,640000000000001
"2017-12-04 00:00:00",7,347999999999999
"2017-12-11 00:00:00",7,136
"2017-12-18 00:00:00",7,775999999999999
"2017-12-25 00:00:00",8,157499999999999
"2018-01-01 00:00:00",7,775
"2018-01-08 00:00:00",7,782000000000001
"2018-01-15 00:00:00",8,236
"2018-01-22 00:00:00",9,088
"2018-01-29 00:00:00",9,057999999999998
"2018-02-05 00:00:00",9,022
"2018-02-12 00:00:00",9,586
"2018-02-19 00:00:00",9,718
"2018-02-26 00:00:00",9,982000000000001
"2018-03-05 00:00:00",10,722
"2018-03-12 00:00:00",11,182
"2018-03-19 00:00:00",12,014
"2018-03-26 00:00:00",13,2075
"2018-04-02 00:00:00",13,024000000000001
"2018-04-09 00:00:00",13,496
"2018-04-16 00:00:00",13,586000000000002
"2018-04-23 00:00:00",13,238
"2018-04-30 00:00:00",13,162
"2018-05-07 00:00:00",14,054000000000002
"2018-05-14 00:00:00",14,906
"2018-05-21 00:00:00",15,932000000000002
"2018-05-28 00:00:00",15,7
"2018-06-04 00:00:00",15,9
"2018-06-11 00:00:00",15,048000000000002
"2018-06-18 00:00:00",14,624
"2018-06-25 00:00:00",15,046000000000001
"2018-07-02 00:00:00",15,404
"2018-07-09 00:00:00",16,093999999999998
"2018-07-16 00:00:00",16,46
"2018-07-23 00:00:00",17,238
"2018-07-30 00:00:00",17,485999999999997
"2018-08-06 00:00:00",17,573999999999998
"2018-08-13 00:00:00",18,068
"2018-08-20 00:00:00",19,71
"2018-08-27 00:00:00",21,028
"2018-09-03 00:00:00",21,046
"2018-09-10 00:00:00",22,21
"2018-09-17 00:00:00",21,316000000000003
"2018-09-24 00:00:00",21,192
"2018-10-01 00:00:00",21,406000000000002
"2018-10-08 00:00:00",20,486
"2018-10-15 00:00:00",19,317999999999998
"2018-10-22 00:00:00",19,04
"2018-10-29 00:00:00",16,351999999999997
"2018-11-05 00:00:00",18,496000000000002
"2018-11-12 00:00:00",19,696
"2018-11-19 00:00:00",20,002000000000002
"2018-11-26 00:00:00",19,848
"2018-12-03 00:00:00",20,262
"2018-12-10 00:00:00",21,636
"2018-12-17 00:00:00",24,339999999999996
"2018-12-24 00:00:00",24,807499999999997
"2018-12-31 00:00:00",24,1025
"2019-01-07 00:00:00",22,238
"2019-01-14 00:00:00",23,27
"2019-01-21 00:00:00",24,312
"2019-01-28 00:00:00",22,556
"2019-02-04 00:00:00",23,018
"2019-02-11 00:00:00",20,733999999999998
"2019-02-18 00:00:00",19,586000000000002
"2019-02-25 00:00:00",20,73
"2019-03-04 00:00:00",22,796
"2019-03-11 00:00:00",22,312
"2019-03-18 00:00:00",21,128000000000004
"2019-03-25 00:00:00",21,526
"2019-04-01 00:00:00",23,148000000000003
